title,url,videos,articles,problems,mcqs,category,tab
Variables and Data Types,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2/video/MTIyNg%3D%3D,,,,,Programming Language,CPP
C++ Basics,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-cpp-basics-2,9 Videos,9 Articles,2 Problems,10 MCQ's,Programming Language,CPP
Variable and Data Types,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-variables-and-data-types-2,12 Videos,12 Articles,7 Problems,10 MCQ's,Programming Language,CPP
Input Output in C++,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-io-in-cpp-2,9 Videos,9 Articles,10 Problems,10 MCQ's,Programming Language,CPP
Operators,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-operators-2,13 Videos,12 Articles,10 Problems,10 MCQ's,Programming Language,CPP
Flow Control,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-flow-control-2,9 Videos,9 Articles,9 Problems,10 MCQ's,Programming Language,CPP
Loops,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-loops-2,21 Videos,21 Articles,20 Problems,10 MCQ's,Programming Language,CPP
Function,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-function-2,9 Videos,10 Articles,8 Problems,10 MCQ's,Programming Language,CPP
Array,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-array-2,11 Videos,10 Articles,10 Problems,10 MCQ's,Programming Language,CPP
References,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-references-2,5 Videos,5 Articles,2 Problems,10 MCQ's,Programming Language,CPP
Pointers,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-pointers-2,11 Videos,11 Articles,5 Problems,10 MCQ's,Programming Language,CPP
String,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-string-2,15 Videos,15 Articles,16 Problems,10 MCQ's,Programming Language,CPP
Structure and Union,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-structure-union-2,6 Videos,6 Articles,5 Problems,10 MCQ's,Programming Language,CPP
Multi Dimensional Array,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-multidimension-2,4 Videos,4 Articles,4 Problems,5 MCQ's,Programming Language,CPP
Templates,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-template-in-cpp-2,3 Videos,3 Articles,3 Problems,10 MCQ's,Programming Language,CPP
Object Oriented Programming (OOPs),https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-oops-2,10 Videos,12 Articles,8 Problems,10 MCQ's,Programming Language,CPP
Exception Handling,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-exception-handling,4 Videos,4 Articles,2 Problems,10 MCQ's,Programming Language,CPP
Advanced,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2,11 Videos,11 Articles,5 Problems,10 MCQ's,Programming Language,CPP
